0.0.0.0		0.0.0.0		*		192.168.1.1		DEFAULT		1
80.0.0.0		255.0.0.0		01010000		223.226.132.40		S1		3
45.0.0.0		255.0.0.0		00101101		76.144.118.12		S3		3
9.0.0.0		255.0.0.0		00001001		133.173.108.144		S4		16
32.0.0.0		255.0.0.0		00100000		161.234.214.41		S4		15
78.0.0.0		255.0.0.0		01001110		0.180.250.182		S2		13
61.0.0.0		255.0.0.0		00111101		174.93.147.194		S4		7
67.0.0.0		255.0.0.0		01000011		58.79.101.128		S1		13
21.0.0.0		255.0.0.0		00010101		57.119.251.32		S4		13
21.0.0.0		255.0.0.0		00010101		83.254.192.60		S1		2
67.0.0.0		255.0.0.0		01000011		18.82.104.177		S2		6
33.0.0.0		255.0.0.0		00100001		149.229.182.237		S3		7
28.0.0.0		255.0.0.0		00011100		182.167.47.143		S4		10
50.0.0.0		255.0.0.0		00110010		45.161.217.26		S1		5
107.0.0.0		255.0.0.0		01101011		198.61.52.218		S4		6
36.0.0.0		255.0.0.0		00100100		24.122.143.89		S3		16
76.0.0.0		255.0.0.0		01001100		70.209.56.40		S2		5
37.0.0.0		255.0.0.0		00100101		0.153.177.167		S1		13
22.0.0.0		255.0.0.0		00010110		3.139.51.252		S3		13
84.0.0.0		255.0.0.0		01010100		220.136.211.234		S1		16
118.0.0.0		255.0.0.0		01110110		184.92.242.63		S4		5
51.0.0.0		255.0.0.0		00110011		42.10.56.105		S1		15
62.0.0.0		255.0.0.0		00111110		180.143.231.199		S4		1
9.0.0.0		255.0.0.0		00001001		193.24.222.193		S1		16
6.0.0.0		255.0.0.0		00000110		196.85.236.114		S2		14
106.0.0.0		255.0.0.0		01101010		10.73.129.115		S4		1
61.0.0.0		255.0.0.0		00111101		72.73.156.68		S4		8
9.0.0.0		255.0.0.0		00001001		222.103.13.233		S3		12
65.0.0.0		255.0.0.0		01000001		92.219.136.60		S4		15
104.0.0.0		255.0.0.0		01101000		163.129.18.129		S1		2
66.0.0.0		255.0.0.0		01000010		135.178.190.116		S1		11
86.0.0.0		255.0.0.0		01010110		161.66.219.57		S3		10
109.0.0.0		255.0.0.0		01101101		46.202.5.40		S4		3
98.0.0.0		255.0.0.0		01100010		95.90.117.96		S3		16
87.0.0.0		255.0.0.0		01010111		132.80.79.240		S3		9
103.0.0.0		255.0.0.0		01100111		45.43.210.95		S1		5
110.0.0.0		255.0.0.0		01101110		78.231.170.158		S1		4
104.0.0.0		255.0.0.0		01101000		152.129.221.122		S2		16
91.0.0.0		255.0.0.0		01011011		0.108.96.141		S1		6
120.0.0.0		255.0.0.0		01111000		168.213.31.107		S3		3
60.0.0.0		255.0.0.0		00111100		26.20.207.67		S3		1
78.0.0.0		255.0.0.0		01001110		197.47.234.128		S2		16
5.0.0.0		255.0.0.0		00000101		50.218.73.208		S2		13
127.0.0.0		255.0.0.0		01111111		39.236.157.43		S1		13
26.0.0.0		255.0.0.0		00011010		155.5.15.102		S2		3
28.0.0.0		255.0.0.0		00011100		178.232.178.139		S2		8
127.0.0.0		255.0.0.0		01111111		209.159.134.120		S1		4
92.0.0.0		255.0.0.0		01011100		47.208.50.166		S4		16
106.0.0.0		255.0.0.0		01101010		10.195.75.187		S2		6
97.0.0.0		255.0.0.0		01100001		195.210.6.163		S4		5
46.0.0.0		255.0.0.0		00101110		68.161.236.224		S1		4
5.0.0.0		255.0.0.0		00000101		171.198.131.81		S2		13
51.0.0.0		255.0.0.0		00110011		201.236.73.22		S4		4
1.0.0.0		255.0.0.0		00000001		10.14.152.18		S2		13
46.0.0.0		255.0.0.0		00101110		140.197.220.203		S3		16
108.0.0.0		255.0.0.0		01101100		141.95.62.40		S2		11
24.0.0.0		255.0.0.0		00011000		106.253.213.144		S2		14
127.0.0.0		255.0.0.0		01111111		138.208.65.12		S4		16
29.0.0.0		255.0.0.0		00011101		206.223.220.197		S4		9
91.0.0.0		255.0.0.0		01011011		105.1.91.252		S1		5
71.0.0.0		255.0.0.0		01000111		41.70.63.143		S1		16
10.0.0.0		255.0.0.0		00001010		177.50.57.234		S2		12
53.0.0.0		255.0.0.0		00110101		67.24.75.158		S2		12
71.0.0.0		255.0.0.0		01000111		203.49.88.215		S3		7
121.0.0.0		255.0.0.0		01111001		206.233.8.32		S4		3
112.0.0.0		255.0.0.0		01110000		20.200.16.143		S2		5
102.0.0.0		255.0.0.0		01100110		114.181.99.66		S3		13
94.0.0.0		255.0.0.0		01011110		130.132.23.231		S2		11
127.0.0.0		255.0.0.0		01111111		70.201.112.207		S4		16
125.0.0.0		255.0.0.0		01111101		84.134.231.108		S4		8
57.0.0.0		255.0.0.0		00111001		213.170.58.48		S1		5
113.0.0.0		255.0.0.0		01110001		214.35.52.53		S2		7
99.0.0.0		255.0.0.0		01100011		195.81.170.104		S2		10
38.0.0.0		255.0.0.0		00100110		66.78.5.237		S4		2
33.0.0.0		255.0.0.0		00100001		144.102.68.114		S1		7
108.0.0.0		255.0.0.0		01101100		56.19.53.167		S3		12
29.0.0.0		255.0.0.0		00011101		123.8.20.28		S3		8
32.0.0.0		255.0.0.0		00100000		178.242.231.78		S2		3
106.0.0.0		255.0.0.0		01101010		172.124.15.91		S1		4
135.106.0.0		255.255.0.0		1000011101101010		94.19.39.75		S1		8
169.43.0.0		255.255.0.0		1010100100101011		217.56.9.159		S1		7
147.106.0.0		255.255.0.0		1001001101101010		73.62.224.184		S2		14
177.110.0.0		255.255.0.0		1011000101101110		118.105.109.218		S4		5
171.167.0.0		255.255.0.0		1010101110100111		174.73.173.232		S3		7
139.219.0.0		255.255.0.0		1000101111011011		42.105.52.203		S2		4
176.120.0.0		255.255.0.0		1011000001111000		182.241.113.40		S3		6
128.238.0.0		255.255.0.0		1000000011101110		177.87.169.204		S2		9
153.139.0.0		255.255.0.0		1001100110001011		182.227.171.71		S3		10
139.188.0.0		255.255.0.0		1000101110111100		134.70.23.24		S2		8
152.70.0.0		255.255.0.0		1001100001000110		201.73.1.0		S4		6
188.160.0.0		255.255.0.0		1011110010100000		62.85.67.144		S3		13
146.196.0.0		255.255.0.0		1001001011000100		104.100.81.45		S4		3
166.41.0.0		255.255.0.0		1010011000101001		162.7.219.37		S1		1
175.176.0.0		255.255.0.0		1010111110110000		184.92.119.14		S2		2
187.110.0.0		255.255.0.0		1011101101101110		36.79.55.139		S2		9
157.32.0.0		255.255.0.0		1001110100100000		186.196.101.124		S2		4
143.164.0.0		255.255.0.0		1000111110100100		43.240.184.165		S2		6
182.202.0.0		255.255.0.0		1011011011001010		184.189.24.104		S2		3
142.110.0.0		255.255.0.0		1000111001101110		77.21.244.216		S4		9
184.33.0.0		255.255.0.0		1011100000100001		3.102.155.19		S4		15
141.252.0.0		255.255.0.0		1000110111111100		24.30.201.48		S4		2
177.155.0.0		255.255.0.0		1011000110011011		17.19.191.135		S3		11
168.107.0.0		255.255.0.0		1010100001101011		205.28.11.194		S2		8
185.40.0.0		255.255.0.0		1011100100101000		71.240.33.131		S4		5
147.28.0.0		255.255.0.0		1001001100011100		16.141.230.75		S4		8
160.1.0.0		255.255.0.0		1010000000000001		167.244.73.109		S2		16
154.168.0.0		255.255.0.0		1001101010101000		39.63.44.138		S4		16
161.252.0.0		255.255.0.0		1010000111111100		198.222.136.238		S3		7
160.181.0.0		255.255.0.0		1010000010110101		14.139.196.198		S4		13
162.91.0.0		255.255.0.0		1010001001011011		88.37.13.5		S4		1
134.13.0.0		255.255.0.0		1000011000001101		186.176.196.23		S4		15
155.109.0.0		255.255.0.0		1001101101101101		147.195.83.88		S4		13
143.6.0.0		255.255.0.0		1000111100000110		73.49.148.103		S4		14
128.172.0.0		255.255.0.0		1000000010101100		85.0.39.246		S2		2
169.218.0.0		255.255.0.0		1010100111011010		147.153.137.4		S2		7
165.19.0.0		255.255.0.0		1010010100010011		26.57.16.231		S4		2
188.33.0.0		255.255.0.0		1011110000100001		85.171.179.40		S1		11
129.14.0.0		255.255.0.0		1000000100001110		95.80.196.208		S3		13
142.85.0.0		255.255.0.0		1000111001010101		175.23.214.212		S2		15
169.18.0.0		255.255.0.0		1010100100010010		176.148.170.220		S4		7
146.78.0.0		255.255.0.0		1001001001001110		199.126.157.242		S1		12
134.12.0.0		255.255.0.0		1000011000001100		68.124.93.237		S1		13
168.62.0.0		255.255.0.0		1010100000111110		96.118.83.182		S4		12
179.208.0.0		255.255.0.0		1011001111010000		64.107.93.167		S1		8
172.147.0.0		255.255.0.0		1010110010010011		5.53.63.29		S2		4
164.255.0.0		255.255.0.0		1010010011111111		29.169.32.76		S1		5
162.168.0.0		255.255.0.0		1010001010101000		185.111.122.88		S4		7
144.58.0.0		255.255.0.0		1001000000111010		211.40.96.174		S3		9
158.111.0.0		255.255.0.0		1001111001101111		76.190.11.67		S4		14
146.19.0.0		255.255.0.0		1001001000010011		212.47.79.229		S3		7
153.187.0.0		255.255.0.0		1001100110111011		113.170.110.119		S2		7
181.184.0.0		255.255.0.0		1011010110111000		178.185.141.33		S4		16
183.185.0.0		255.255.0.0		1011011110111001		217.81.217.80		S2		4
137.148.0.0		255.255.0.0		1000100110010100		184.115.48.87		S2		12
170.245.0.0		255.255.0.0		1010101011110101		209.205.169.96		S3		12
146.66.0.0		255.255.0.0		1001001001000010		128.231.71.23		S2		16
181.140.0.0		255.255.0.0		1011010110001100		209.255.55.209		S1		2
184.200.0.0		255.255.0.0		1011100011001000		206.243.85.169		S3		6
135.219.0.0		255.255.0.0		1000011111011011		61.64.231.29		S1		10
175.165.0.0		255.255.0.0		1010111110100101		126.138.38.4		S4		16
138.142.0.0		255.255.0.0		1000101010001110		35.140.242.100		S3		8
159.7.0.0		255.255.0.0		1001111100000111		92.248.143.145		S1		15
149.189.0.0		255.255.0.0		1001010110111101		177.250.225.156		S1		12
191.199.0.0		255.255.0.0		1011111111000111		42.193.12.128		S1		14
135.253.0.0		255.255.0.0		1000011111111101		142.160.242.174		S2		8
167.232.0.0		255.255.0.0		1010011111101000		60.186.44.77		S3		7
134.254.0.0		255.255.0.0		1000011011111110		7.102.204.211		S2		14
158.73.0.0		255.255.0.0		1001111001001001		31.41.242.122		S4		1
163.228.0.0		255.255.0.0		1010001111100100		216.84.105.148		S3		8
137.186.0.0		255.255.0.0		1000100110111010		180.30.169.98		S2		10
146.181.0.0		255.255.0.0		1001001010110101		215.220.196.231		S4		8
163.125.0.0		255.255.0.0		1010001101111101		112.224.178.120		S3		13
182.202.0.0		255.255.0.0		1011011011001010		104.197.96.42		S3		5
180.220.0.0		255.255.0.0		1011010011011100		83.66.92.38		S2		13
159.10.0.0		255.255.0.0		1001111100001010		181.230.79.112		S1		16
128.233.0.0		255.255.0.0		1000000011101001		210.247.150.191		S2		11
167.9.0.0		255.255.0.0		1010011100001001		57.114.141.29		S1		6
188.255.0.0		255.255.0.0		1011110011111111		28.40.34.99		S2		6
177.117.0.0		255.255.0.0		1011000101110101		41.177.65.188		S3		4
179.5.0.0		255.255.0.0		1011001100000101		39.174.57.56		S2		10
184.169.0.0		255.255.0.0		1011100010101001		68.89.233.12		S1		6
166.96.0.0		255.255.0.0		1010011001100000		25.210.252.61		S3		16
148.130.0.0		255.255.0.0		1001010010000010		94.80.197.113		S1		4
180.91.0.0		255.255.0.0		1011010001011011		190.133.140.63		S2		8
176.18.0.0		255.255.0.0		1011000000010010		176.71.168.42		S3		6
139.100.0.0		255.255.0.0		1000101101100100		123.179.136.250		S4		16
188.82.0.0		255.255.0.0		1011110001010010		217.237.144.125		S3		16
162.101.0.0		255.255.0.0		1010001001100101		57.156.197.155		S2		5
183.162.0.0		255.255.0.0		1011011110100010		42.49.214.133		S1		2
161.192.0.0		255.255.0.0		1010000111000000		76.189.211.169		S1		12
131.195.0.0		255.255.0.0		1000001111000011		73.180.255.132		S3		14
134.83.0.0		255.255.0.0		1000011001010011		156.25.192.129		S2		6
135.73.0.0		255.255.0.0		1000011101001001		197.75.59.22		S3		9
151.21.0.0		255.255.0.0		1001011100010101		86.228.137.3		S4		13
153.218.0.0		255.255.0.0		1001100111011010		138.75.140.164		S2		5
172.200.0.0		255.255.0.0		1010110011001000		10.26.173.223		S3		11
145.196.0.0		255.255.0.0		1001000111000100		171.34.194.199		S4		11
149.34.0.0		255.255.0.0		1001010100100010		20.124.24.48		S3		15
188.37.0.0		255.255.0.0		1011110000100101		27.177.182.226		S2		13
188.54.0.0		255.255.0.0		1011110000110110		153.249.224.9		S2		10
129.43.0.0		255.255.0.0		1000000100101011		211.169.209.179		S1		2
184.168.0.0		255.255.0.0		1011100010101000		5.252.144.167		S1		10
155.239.0.0		255.255.0.0		1001101111101111		41.26.25.46		S1		1
161.224.0.0		255.255.0.0		1010000111100000		20.129.30.252		S4		8
150.112.0.0		255.255.0.0		1001011001110000		128.35.153.241		S2		2
172.128.0.0		255.255.0.0		1010110010000000		29.254.193.218		S3		16
165.144.0.0		255.255.0.0		1010010110010000		53.248.135.119		S3		11
159.20.0.0		255.255.0.0		1001111100010100		37.230.208.254		S1		12
177.161.0.0		255.255.0.0		1011000110100001		103.132.214.56		S2		12
157.121.0.0		255.255.0.0		1001110101111001		160.148.69.109		S4		4
148.123.0.0		255.255.0.0		1001010001111011		70.68.82.218		S2		16
184.123.0.0		255.255.0.0		1011100001111011		45.75.193.234		S4		9
162.79.0.0		255.255.0.0		1010001001001111		77.120.76.104		S3		11
147.91.0.0		255.255.0.0		1001001101011011		83.139.151.122		S2		16
135.73.0.0		255.255.0.0		1000011101001001		87.73.221.14		S3		15
143.243.0.0		255.255.0.0		1000111111110011		111.109.104.9		S3		6
150.138.0.0		255.255.0.0		1001011010001010		13.49.159.63		S2		8
172.51.0.0		255.255.0.0		1010110000110011		134.217.254.21		S2		11
165.177.0.0		255.255.0.0		1010010110110001		150.27.88.253		S2		7
161.211.0.0		255.255.0.0		1010000111010011		22.128.253.46		S2		2
174.157.0.0		255.255.0.0		1010111010011101		100.120.153.123		S1		8
137.55.0.0		255.255.0.0		1000100100110111		211.29.121.230		S1		7
165.187.0.0		255.255.0.0		1010010110111011		170.169.102.232		S1		1
133.72.0.0		255.255.0.0		1000010101001000		47.161.74.159		S1		9
182.170.0.0		255.255.0.0		1011011010101010		219.200.25.163		S3		5
140.49.0.0		255.255.0.0		1000110000110001		115.7.206.31		S2		11
158.252.0.0		255.255.0.0		1001111011111100		23.1.183.156		S3		11
168.64.0.0		255.255.0.0		1010100001000000		133.191.180.38		S4		5
187.51.0.0		255.255.0.0		1011101100110011		184.106.117.220		S1		14
185.251.0.0		255.255.0.0		1011100111111011		63.215.90.199		S1		2
176.221.0.0		255.255.0.0		1011000011011101		216.116.217.148		S1		16
129.1.0.0		255.255.0.0		1000000100000001		25.235.208.126		S2		14
138.186.0.0		255.255.0.0		1000101010111010		112.182.212.242		S3		16
140.203.0.0		255.255.0.0		1000110011001011		143.170.18.249		S2		13
190.178.0.0		255.255.0.0		1011111010110010		202.102.250.197		S2		6
168.28.0.0		255.255.0.0		1010100000011100		94.255.233.21		S3		8
132.124.0.0		255.255.0.0		1000010001111100		118.236.2.5		S2		1
137.16.0.0		255.255.0.0		1000100100010000		157.175.243.134		S3		6
149.237.0.0		255.255.0.0		1001010111101101		205.157.68.244		S2		3
182.7.0.0		255.255.0.0		1011011000000111		4.16.220.251		S2		13
166.192.0.0		255.255.0.0		1010011011000000		27.114.6.137		S2		10
186.23.0.0		255.255.0.0		1011101000010111		78.136.48.207		S2		7
183.96.0.0		255.255.0.0		1011011101100000		197.105.142.219		S4		1
191.95.0.0		255.255.0.0		1011111101011111		158.85.34.143		S4		9
151.19.0.0		255.255.0.0		1001011100010011		101.97.97.12		S2		11
153.72.0.0		255.255.0.0		1001100101001000		150.181.197.241		S2		13
141.116.0.0		255.255.0.0		1000110101110100		217.108.223.148		S1		10
166.201.0.0		255.255.0.0		1010011011001001		44.145.216.167		S1		11
160.101.0.0		255.255.0.0		1010000001100101		103.176.116.184		S1		15
141.206.0.0		255.255.0.0		1000110111001110		122.71.179.83		S4		4
131.71.0.0		255.255.0.0		1000001101000111		137.126.165.155		S2		16
186.196.0.0		255.255.0.0		1011101011000100		13.111.58.73		S4		13
185.12.0.0		255.255.0.0		1011100100001100		56.249.125.217		S2		8
168.167.0.0		255.255.0.0		1010100010100111		89.50.68.34		S2		5
146.48.0.0		255.255.0.0		1001001000110000		197.143.136.187		S4		5
178.150.0.0		255.255.0.0		1011001010010110		61.244.245.91		S4		8
174.155.0.0		255.255.0.0		1010111010011011		30.97.221.89		S2		4
160.234.0.0		255.255.0.0		1010000011101010		122.156.139.131		S3		9
152.157.0.0		255.255.0.0		1001100010011101		223.196.255.203		S2		4
160.87.0.0		255.255.0.0		1010000001010111		155.190.96.144		S2		15
133.12.0.0		255.255.0.0		1000010100001100		216.88.104.94		S1		7
129.37.0.0		255.255.0.0		1000000100100101		123.135.41.26		S1		13
132.173.0.0		255.255.0.0		1000010010101101		76.47.72.254		S2		12
174.62.0.0		255.255.0.0		1010111000111110		203.114.137.25		S4		8
162.186.0.0		255.255.0.0		1010001010111010		115.235.191.189		S1		12
153.198.0.0		255.255.0.0		1001100111000110		210.134.52.100		S3		15
144.115.0.0		255.255.0.0		1001000001110011		217.229.121.133		S2		16
188.80.0.0		255.255.0.0		1011110001010000		61.52.237.205		S1		16
151.161.0.0		255.255.0.0		1001011110100001		75.159.181.122		S4		5
147.21.0.0		255.255.0.0		1001001100010101		223.140.200.216		S4		7
148.137.0.0		255.255.0.0		1001010010001001		103.8.110.209		S2		5
159.249.0.0		255.255.0.0		1001111111111001		67.240.240.54		S2		3
162.175.0.0		255.255.0.0		1010001010101111		153.172.144.73		S1		1
183.175.0.0		255.255.0.0		1011011110101111		91.80.96.34		S3		11
165.91.0.0		255.255.0.0		1010010101011011		167.40.187.70		S1		5
175.179.0.0		255.255.0.0		1010111110110011		210.216.150.251		S1		8
172.57.0.0		255.255.0.0		1010110000111001		49.101.35.140		S3		11
142.193.0.0		255.255.0.0		1000111011000001		78.188.14.133		S2		6
166.109.0.0		255.255.0.0		1010011001101101		133.44.119.206		S3		1
150.175.0.0		255.255.0.0		1001011010101111		55.240.127.67		S1		1
144.100.0.0		255.255.0.0		1001000001100100		166.213.46.122		S2		6
145.205.0.0		255.255.0.0		1001000111001101		92.6.205.44		S3		3
135.123.0.0		255.255.0.0		1000011101111011		179.125.13.44		S1		1
185.62.0.0		255.255.0.0		1011100100111110		218.228.13.115		S4		14
152.59.0.0		255.255.0.0		1001100000111011		147.102.225.189		S1		1
182.196.0.0		255.255.0.0		1011011011000100		73.35.74.119		S1		3
172.17.0.0		255.255.0.0		1010110000010001		35.184.58.125		S1		2
162.166.0.0		255.255.0.0		1010001010100110		69.206.223.168		S1		16
186.61.0.0		255.255.0.0		1011101000111101		56.239.99.114		S4		1
129.254.0.0		255.255.0.0		1000000111111110		25.106.116.69		S1		12
182.195.0.0		255.255.0.0		1011011011000011		213.63.64.116		S4		13
144.89.0.0		255.255.0.0		1001000001011001		152.77.164.112		S1		11
191.132.0.0		255.255.0.0		1011111110000100		211.170.250.103		S4		12
147.156.0.0		255.255.0.0		1001001110011100		95.152.16.219		S1		2
160.126.0.0		255.255.0.0		1010000001111110		108.108.122.21		S2		14
168.231.0.0		255.255.0.0		1010100011100111		201.40.213.126		S1		13
131.255.0.0		255.255.0.0		1000001111111111		40.107.121.135		S1		9
182.163.0.0		255.255.0.0		1011011010100011		207.90.118.247		S2		10
170.32.0.0		255.255.0.0		1010101000100000		204.82.135.64		S1		6
134.7.0.0		255.255.0.0		1000011000000111		46.27.74.169		S2		10
129.230.0.0		255.255.0.0		1000000111100110		17.128.222.83		S1		10
148.184.0.0		255.255.0.0		1001010010111000		210.62.42.148		S2		15
168.129.0.0		255.255.0.0		1010100010000001		51.23.16.53		S1		7
158.48.0.0		255.255.0.0		1001111000110000		178.226.12.230		S4		9
164.177.0.0		255.255.0.0		1010010010110001		142.177.4.10		S1		13
191.25.0.0		255.255.0.0		1011111100011001		199.166.8.62		S1		6
159.47.0.0		255.255.0.0		1001111100101111		137.226.5.54		S2		1
156.22.0.0		255.255.0.0		1001110000010110		130.150.26.158		S1		6
162.109.0.0		255.255.0.0		1010001001101101		159.217.138.236		S2		9
175.110.0.0		255.255.0.0		1010111101101110		200.122.8.211		S4		9
158.249.0.0		255.255.0.0		1001111011111001		93.61.18.96		S4		7
151.206.0.0		255.255.0.0		1001011111001110		203.220.70.96		S4		1
163.74.0.0		255.255.0.0		1010001101001010		140.162.68.195		S3		11
178.192.0.0		255.255.0.0		1011001011000000		25.129.165.172		S3		15
142.203.0.0		255.255.0.0		1000111011001011		89.242.248.234		S4		13
187.104.0.0		255.255.0.0		1011101101101000		96.225.205.134		S4		11
148.169.0.0		255.255.0.0		1001010010101001		39.58.186.177		S4		2
174.129.0.0		255.255.0.0		1010111010000001		214.28.215.88		S2		13
133.166.0.0		255.255.0.0		1000010110100110		81.190.138.52		S1		16
131.48.0.0		255.255.0.0		1000001100110000		171.203.115.132		S1		6
138.12.0.0		255.255.0.0		1000101000001100		65.246.155.224		S4		11
140.17.0.0		255.255.0.0		1000110000010001		81.148.130.47		S2		4
141.192.0.0		255.255.0.0		1000110111000000		155.108.25.180		S2		2
178.109.0.0		255.255.0.0		1011001001101101		75.214.60.184		S1		4
147.116.0.0		255.255.0.0		1001001101110100		193.25.116.66		S3		3
153.64.0.0		255.255.0.0		1001100101000000		17.163.32.237		S1		16
174.220.0.0		255.255.0.0		1010111011011100		124.125.143.133		S2		12
169.14.0.0		255.255.0.0		1010100100001110		95.245.13.186		S4		5
164.241.0.0		255.255.0.0		1010010011110001		19.245.225.255		S1		11
149.204.0.0		255.255.0.0		1001010111001100		100.71.85.183		S4		3
177.96.0.0		255.255.0.0		1011000101100000		99.193.252.158		S2		8
156.46.0.0		255.255.0.0		1001110000101110		21.230.248.51		S3		1
191.14.0.0		255.255.0.0		1011111100001110		26.123.212.14		S3		13
129.166.0.0		255.255.0.0		1000000110100110		166.25.111.55		S1		7
143.70.0.0		255.255.0.0		1000111101000110		2.38.248.58		S2		2
152.116.0.0		255.255.0.0		1001100001110100		175.179.224.173		S2		5
175.135.0.0		255.255.0.0		1010111110000111		153.21.38.139		S1		4
166.84.0.0		255.255.0.0		1010011001010100		114.146.13.120		S1		13
140.234.0.0		255.255.0.0		1000110011101010		183.46.67.40		S3		16
151.194.0.0		255.255.0.0		1001011111000010		184.23.203.2		S2		15
152.113.0.0		255.255.0.0		1001100001110001		50.226.201.109		S1		12
144.171.0.0		255.255.0.0		1001000010101011		220.184.185.217		S4		12
183.131.0.0		255.255.0.0		1011011110000011		31.212.208.234		S3		15
148.47.0.0		255.255.0.0		1001010000101111		180.142.95.62		S4		13
186.207.0.0		255.255.0.0		1011101011001111		79.231.110.206		S2		13
143.90.0.0		255.255.0.0		1000111101011010		167.158.180.246		S4		15
138.43.0.0		255.255.0.0		1000101000101011		126.185.99.199		S1		6
161.147.0.0		255.255.0.0		1010000110010011		118.231.36.159		S2		15
155.221.0.0		255.255.0.0		1001101111011101		100.226.42.67		S4		7
159.185.0.0		255.255.0.0		1001111110111001		44.128.28.66		S3		2
178.112.0.0		255.255.0.0		1011001001110000		24.23.42.18		S2		7
145.189.0.0		255.255.0.0		1001000110111101		213.112.220.161		S4		4
164.49.0.0		255.255.0.0		1010010000110001		179.68.228.108		S2		15
156.39.0.0		255.255.0.0		1001110000100111		158.52.114.147		S1		4
171.191.0.0		255.255.0.0		1010101110111111		135.35.170.240		S1		6
168.99.0.0		255.255.0.0		1010100001100011		74.221.250.32		S3		10
139.233.0.0		255.255.0.0		1000101111101001		67.235.163.8		S4		13
186.59.0.0		255.255.0.0		1011101000111011		11.96.159.235		S3		12
159.178.0.0		255.255.0.0		1001111110110010		9.199.45.182		S2		6
162.65.0.0		255.255.0.0		1010001001000001		26.59.53.31		S2		12
145.139.0.0		255.255.0.0		1001000110001011		39.153.29.13		S2		14
172.165.0.0		255.255.0.0		1010110010100101		87.176.69.90		S4		16
161.174.0.0		255.255.0.0		1010000110101110		144.91.249.17		S1		11
164.117.0.0		255.255.0.0		1010010001110101		158.118.5.95		S4		3
143.140.0.0		255.255.0.0		1000111110001100		192.56.242.50		S1		7
181.219.0.0		255.255.0.0		1011010111011011		99.93.89.145		S1		16
163.56.0.0		255.255.0.0		1010001100111000		11.240.227.63		S3		16
175.28.0.0		255.255.0.0		1010111100011100		121.234.59.254		S2		6
189.126.0.0		255.255.0.0		1011110101111110		29.234.21.234		S2		16
159.198.0.0		255.255.0.0		1001111111000110		134.183.34.247		S3		12
175.145.0.0		255.255.0.0		1010111110010001		207.54.225.62		S1		15
190.200.0.0		255.255.0.0		1011111011001000		3.66.31.206		S3		13
164.145.0.0		255.255.0.0		1010010010010001		42.41.148.140		S3		13
191.100.0.0		255.255.0.0		1011111101100100		173.215.26.254		S3		4
179.21.0.0		255.255.0.0		1011001100010101		10.10.253.90		S1		16
162.32.0.0		255.255.0.0		1010001000100000		112.246.131.127		S2		14
171.71.0.0		255.255.0.0		1010101101000111		94.12.46.202		S3		5
157.69.0.0		255.255.0.0		1001110101000101		123.174.44.180		S4		6
145.253.0.0		255.255.0.0		1001000111111101		132.40.12.171		S4		13
166.210.0.0		255.255.0.0		1010011011010010		45.65.250.32		S3		2
163.36.0.0		255.255.0.0		1010001100100100		175.120.188.215		S3		5
188.83.0.0		255.255.0.0		1011110001010011		24.96.234.44		S3		8
155.168.0.0		255.255.0.0		1001101110101000		197.183.71.142		S1		9
132.209.0.0		255.255.0.0		1000010011010001		45.27.212.129		S3		3
145.10.0.0		255.255.0.0		1001000100001010		144.100.163.189		S4		9
169.117.0.0		255.255.0.0		1010100101110101		181.124.73.88		S2		3
176.31.0.0		255.255.0.0		1011000000011111		40.8.63.4		S2		4
152.157.0.0		255.255.0.0		1001100010011101		151.233.70.170		S3		16
143.3.0.0		255.255.0.0		1000111100000011		199.52.175.25		S1		15
174.67.0.0		255.255.0.0		1010111001000011		93.185.199.242		S4		11
165.160.0.0		255.255.0.0		1010010110100000		104.201.151.201		S4		15
165.232.0.0		255.255.0.0		1010010111101000		151.138.225.104		S1		7
180.132.0.0		255.255.0.0		1011010010000100		87.235.68.211		S2		13
137.26.0.0		255.255.0.0		1000100100011010		37.107.93.114		S4		1
149.0.0.0		255.255.0.0		1001010100000000		21.136.250.56		S2		10
162.209.0.0		255.255.0.0		1010001011010001		136.44.151.155		S3		13
146.232.0.0		255.255.0.0		1001001011101000		122.190.35.248		S1		7
137.241.0.0		255.255.0.0		1000100111110001		123.54.124.185		S2		6
135.126.0.0		255.255.0.0		1000011101111110		218.233.28.240		S3		1
209.113.66.0		255.255.255.0		110100010111000101000010		103.38.248.11		S2		8
205.118.30.0		255.255.255.0		110011010111011000011110		26.22.199.55		S4		15
208.102.247.0		255.255.255.0		110100000110011011110111		174.174.99.127		S4		8
194.13.50.0		255.255.255.0		110000100000110100110010		3.133.80.159		S1		15
207.193.115.0		255.255.255.0		110011111100000101110011		50.164.46.122		S2		1
222.224.155.0		255.255.255.0		110111101110000010011011		210.177.144.166		S3		2
206.76.12.0		255.255.255.0		110011100100110000001100		117.223.172.75		S2		14
216.99.14.0		255.255.255.0		110110000110001100001110		41.99.227.128		S2		16
211.131.222.0		255.255.255.0		110100111000001111011110		114.249.49.248		S2		10
205.184.176.0		255.255.255.0		110011011011100010110000		40.48.45.39		S4		9
199.230.45.0		255.255.255.0		110001111110011000101101		12.192.220.13		S3		13
216.151.102.0		255.255.255.0		110110001001011101100110		153.212.69.240		S3		1
202.96.44.0		255.255.255.0		110010100110000000101100		41.57.133.237		S4		10
198.92.54.0		255.255.255.0		110001100101110000110110		16.13.150.160		S2		5
221.15.15.0		255.255.255.0		110111010000111100001111		148.212.7.140		S1		13
